feature_set,model,true,pred,count
No current sensors,RF,Open-Circuit,Degradation,8
No current sensors,RF,Open-Circuit,Open-Circuit,6016
No current sensors,RF,Open-Circuit,Shadowing,0
No current sensors,RF,Shadowing,Normal,57156
No current sensors,RF,Shadowing,Short-Circuit,80
No current sensors,RF,Shadowing,Degradation,1174
No current sensors,RF,Shadowing,Open-Circuit,0
No current sensors,RF,Shadowing,Shadowing,130063
No current sensors,HistGBM,Normal,Normal,334079
No current sensors,HistGBM,Normal,Short-Circuit,401
No current sensors,HistGBM,Normal,Degradation,6074
No current sensors,HistGBM,Normal,Open-Circuit,0
No current sensors,HistGBM,Normal,Shadowing,62290
No current sensors,HistGBM,Short-Circuit,Normal,231
No current sensors,HistGBM,Short-Circuit,Short-Circuit,5710
No current sensors,HistGBM,Short-Circuit,Degradation,44
No current sensors,HistGBM,Short-Circuit,Open-Circuit,1
No current sensors,HistGBM,Short-Circuit,Shadowing,13
No current sensors,HistGBM,Degradation,Normal,1248
No current sensors,HistGBM,Degradation,Short-Circuit,45
No current sensors,HistGBM,Degradation,Degradation,8729
No current sensors,HistGBM,Degradation,Open-Circuit,19
No current sensors,HistGBM,Degradation,Shadowing,330
No current sensors,HistGBM,Open-Circuit,Normal,2
No current sensors,HistGBM,Open-Circuit,Short-Circuit,0
No current sensors,HistGBM,Open-Circuit,Degradation,9
No current sensors,HistGBM,Open-Circuit,Open-Circuit,5956
No current sensors,HistGBM,Open-Circuit,Shadowing,57
No current sensors,HistGBM,Shadowing,Normal,37402
No current sensors,HistGBM,Shadowing,Short-Circuit,167
No current sensors,HistGBM,Shadowing,Degradation,4996
No current sensors,HistGBM,Shadowing,Open-Circuit,2
No current sensors,HistGBM,Shadowing,Shadowing,145906
No voltage sensors,LogReg,Normal,Normal,243852
No voltage sensors,LogReg,Normal,Short-Circuit,59796
No voltage sensors,LogReg,Normal,Degradation,17690
No voltage sensors,LogReg,Normal,Open-Circuit,0
No voltage sensors,LogReg,Normal,Shadowing,81506
No voltage sensors,LogReg,Short-Circuit,Normal,592
No voltage sensors,LogReg,Short-Circuit,Short-Circuit,4549
No voltage sensors,LogReg,Short-Circuit,Degradation,843
No voltage sensors,LogReg,Short-Circuit,Open-Circuit,6
No voltage sensors,LogReg,Short-Circuit,Shadowing,9
No voltage sensors,LogReg,Degradation,Normal,1813
No voltage sensors,LogReg,Degradation,Short-Circuit,1434
No voltage sensors,LogReg,Degradation,Degradation,6883
No voltage sensors,LogReg,Degradation,Open-Circuit,30
No voltage sensors,LogReg,Degradation,Shadowing,211
No voltage sensors,LogReg,Open-Circuit,Normal,0
No voltage sensors,LogReg,Open-Circuit,Short-Circuit,0
No voltage sensors,LogReg,Open-Circuit,Degradation,0
No voltage sensors,LogReg,Open-Circuit,Open-Circuit,6024
No voltage sensors,LogReg,Open-Circuit,Shadowing,0
No voltage sensors,LogReg,Shadowing,Normal,76795
No voltage sensors,LogReg,Shadowing,Short-Circuit,91
No voltage sensors,LogReg,Shadowing,Degradation,4519
No voltage sensors,LogReg,Shadowing,Open-Circuit,40
No voltage sensors,LogReg,Shadowing,Shadowing,107028
No voltage sensors,RF,Normal,Normal,378668
No voltage sensors,RF,Normal,Short-Circuit,752
