feature_set,model,true,pred,count
HK-availability proxy (not a validated transfer mapping),RF,Normal,Open-Circuit,0
HK-availability proxy (not a validated transfer mapping),RF,Normal,Shadowing,46353
HK-availability proxy (not a validated transfer mapping),RF,Short-Circuit,Normal,275
HK-availability proxy (not a validated transfer mapping),RF,Short-Circuit,Short-Circuit,3204
HK-availability proxy (not a validated transfer mapping),RF,Short-Circuit,Degradation,609
HK-availability proxy (not a validated transfer mapping),RF,Short-Circuit,Open-Circuit,7
HK-availability proxy (not a validated transfer mapping),RF,Short-Circuit,Shadowing,1904
HK-availability proxy (not a validated transfer mapping),RF,Degradation,Normal,2938
HK-availability proxy (not a validated transfer mapping),RF,Degradation,Short-Circuit,612
HK-availability proxy (not a validated transfer mapping),RF,Degradation,Degradation,4202
HK-availability proxy (not a validated transfer mapping),RF,Degradation,Open-Circuit,19
HK-availability proxy (not a validated transfer mapping),RF,Degradation,Shadowing,2600
HK-availability proxy (not a validated transfer mapping),RF,Open-Circuit,Normal,0
HK-availability proxy (not a validated transfer mapping),RF,Open-Circuit,Short-Circuit,28
HK-availability proxy (not a validated transfer mapping),RF,Open-Circuit,Degradation,642
HK-availability proxy (not a validated transfer mapping),RF,Open-Circuit,Open-Circuit,4170
HK-availability proxy (not a validated transfer mapping),RF,Open-Circuit,Shadowing,1184
HK-availability proxy (not a validated transfer mapping),RF,Shadowing,Normal,18235
HK-availability proxy (not a validated transfer mapping),RF,Shadowing,Short-Circuit,104
HK-availability proxy (not a validated transfer mapping),RF,Shadowing,Degradation,79
HK-availability proxy (not a validated transfer mapping),RF,Shadowing,Open-Circuit,26
HK-availability proxy (not a validated transfer mapping),RF,Shadowing,Shadowing,170029
HK-availability proxy (not a validated transfer mapping),HistGBM,Normal,Normal,284767
HK-availability proxy (not a validated transfer mapping),HistGBM,Normal,Short-Circuit,5564
HK-availability proxy (not a validated transfer mapping),HistGBM,Normal,Degradation,39594
HK-availability proxy (not a validated transfer mapping),HistGBM,Normal,Open-Circuit,17432
HK-availability proxy (not a validated transfer mapping),HistGBM,Normal,Shadowing,55487
HK-availability proxy (not a validated transfer mapping),HistGBM,Short-Circuit,Normal,288
HK-availability proxy (not a validated transfer mapping),HistGBM,Short-Circuit,Short-Circuit,2851
HK-availability proxy (not a validated transfer mapping),HistGBM,Short-Circuit,Degradation,1157
HK-availability proxy (not a validated transfer mapping),HistGBM,Short-Circuit,Open-Circuit,613
HK-availability proxy (not a validated transfer mapping),HistGBM,Short-Circuit,Shadowing,1090
HK-availability proxy (not a validated transfer mapping),HistGBM,Degradation,Normal,2361
HK-availability proxy (not a validated transfer mapping),HistGBM,Degradation,Short-Circuit,1077
HK-availability proxy (not a validated transfer mapping),HistGBM,Degradation,Degradation,5901
HK-availability proxy (not a validated transfer mapping),HistGBM,Degradation,Open-Circuit,57
HK-availability proxy (not a validated transfer mapping),HistGBM,Degradation,Shadowing,975
HK-availability proxy (not a validated transfer mapping),HistGBM,Open-Circuit,Normal,1
HK-availability proxy (not a validated transfer mapping),HistGBM,Open-Circuit,Short-Circuit,557
HK-availability proxy (not a validated transfer mapping),HistGBM,Open-Circuit,Degradation,142
HK-availability proxy (not a validated transfer mapping),HistGBM,Open-Circuit,Open-Circuit,4071
HK-availability proxy (not a validated transfer mapping),HistGBM,Open-Circuit,Shadowing,1253
HK-availability proxy (not a validated transfer mapping),HistGBM,Shadowing,Normal,20277
HK-availability proxy (not a validated transfer mapping),HistGBM,Shadowing,Short-Circuit,908
HK-availability proxy (not a validated transfer mapping),HistGBM,Shadowing,Degradation,975
HK-availability proxy (not a validated transfer mapping),HistGBM,Shadowing,Open-Circuit,12700
HK-availability proxy (not a validated transfer mapping),HistGBM,Shadowing,Shadowing,153613
HK-availability proxy (not a validated transfer mapping),MLP,Normal,Normal,340319
HK-availability proxy (not a validated transfer mapping),MLP,Normal,Short-Circuit,1
HK-availability proxy (not a validated transfer mapping),MLP,Normal,Degradation,9160
HK-availability proxy (not a validated transfer mapping),MLP,Normal,Open-Circuit,52
HK-availability proxy (not a validated transfer mapping),MLP,Normal,Shadowing,53312
HK-availability proxy (not a validated transfer mapping),MLP,Short-Circuit,Normal,13
HK-availability proxy (not a validated transfer mapping),MLP,Short-Circuit,Short-Circuit,4874
HK-availability proxy (not a validated transfer mapping),MLP,Short-Circuit,Degradation,19
HK-availability proxy (not a validated transfer mapping),MLP,Short-Circuit,Open-Circuit,10
HK-availability proxy (not a validated transfer mapping),MLP,Short-Circuit,Shadowing,1083
HK-availability proxy (not a validated transfer mapping),MLP,Degradation,Normal,2508
HK-availability proxy (not a validated transfer mapping),MLP,Degradation,Short-Circuit,10
HK-availability proxy (not a validated transfer mapping),MLP,Degradation,Degradation,6481
HK-availability proxy (not a validated transfer mapping),MLP,Degradation,Open-Circuit,38
HK-availability proxy (not a validated transfer mapping),MLP,Degradation,Shadowing,1334
HK-availability proxy (not a validated transfer mapping),MLP,Open-Circuit,Normal,0
HK-availability proxy (not a validated transfer mapping),MLP,Open-Circuit,Short-Circuit,0
HK-availability proxy (not a validated transfer mapping),MLP,Open-Circuit,Degradation,0
HK-availability proxy (not a validated transfer mapping),MLP,Open-Circuit,Open-Circuit,6000
HK-availability proxy (not a validated transfer mapping),MLP,Open-Circuit,Shadowing,24
HK-availability proxy (not a validated transfer mapping),MLP,Shadowing,Normal,15271
HK-availability proxy (not a validated transfer mapping),MLP,Shadowing,Short-Circuit,198
HK-availability proxy (not a validated transfer mapping),MLP,Shadowing,Degradation,219
HK-availability proxy (not a validated transfer mapping),MLP,Shadowing,Open-Circuit,50
HK-availability proxy (not a validated transfer mapping),MLP,Shadowing,Shadowing,172735
