,mean_P_Normal,mean_P_Short-Circuit,mean_P_Degradation,mean_P_Open-Circuit,mean_P_Shadowing,pred_class,binary_screened_non_normal,ensemble_anomalous_score_uncalibrated,fold1_pred,fold2_pred,fold3_pred,fold4_pred,fold5_pred
2023-02-22 17:30:00+08:00,0.863082724932909,2.2534060790899485e-11,7.138606894947299e-10,1.012128663009701e-07,0.1369171731178299,Normal,0,0.13691727506709095,Normal,Normal,Normal,Normal,Normal
2023-02-22 17:45:00+08:00,0.9709615015925646,1.9697494404509248e-11,4.185383373338604e-10,8.219140706027642e-08,0.029038415777792436,Normal,0,0.029038498407435442,Normal,Normal,Normal,Normal,Normal
2023-02-23 07:30:00+08:00,0.6979707275092335,3.1084900417739015e-12,9.2284199498755e-10,4.540547736071274e-08,0.3020292261593386,Normal,0,0.3020292724907665,Normal,Normal,Normal,Normal,Normal
2023-02-23 07:45:00+08:00,0.7679134740712676,1.1521294523834321e-10,6.273566071751536e-09,1.9795052541947958e-08,0.2320864997449008,Normal,0,0.23208652592873236,Normal,Normal,Normal,Normal,Shadowing
2023-02-23 08:00:00+08:00,0.008868835980926141,5.3128420792988216e-14,6.01923901589384e-10,1.6756718865357484e-10,0.9911311632495297,Shadowing,1,0.9911311640190739,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 08:15:00+08:00,0.06956376007117557,2.362202950829279e-12,1.5031726221052032e-08,7.639793925306285e-10,0.9304362241307566,Shadowing,1,0.9304362399288244,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 08:30:00+08:00,0.01955123462341172,4.086345598396421e-12,2.115909289140542e-09,3.877580588367561e-09,0.9804487593790121,Shadowing,1,0.9804487653765883,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 08:45:00+08:00,0.010107938691640079,4.5430824988048395e-10,4.878085679098737e-09,1.0366883667212e-09,0.9898920549392776,Shadowing,1,0.9898920613083599,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 09:00:00+08:00,0.02202728547532658,3.317188741855246e-08,2.2182456715855267e-08,8.927020417823907e-09,0.9779726502433089,Shadowing,1,0.9779727145246734,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 09:15:00+08:00,0.00825783940619138,2.9894707934203143e-07,1.7824748362738574e-07,9.253753352456418e-10,0.9917416824738703,Shadowing,1,0.9917421605938086,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 09:30:00+08:00,0.0018329723635165326,6.39635624629383e-07,1.533727194821336e-06,1.3392242876707529e-10,0.9981648541397415,Shadowing,1,0.9981670276364835,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 09:45:00+08:00,8.514321926645086e-06,7.66906048089204e-06,5.628306979916685e-06,9.231186818645296e-12,0.9999781883013815,Shadowing,1,0.9999914856780734,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 10:00:00+08:00,1.3283299173782805e-06,0.001975470970348332,7.769318054593309e-05,3.629364335281574e-13,0.9979455075188255,Shadowing,1,0.9999986716700826,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 10:15:00+08:00,3.2130978781088335e-06,0.01157579599207811,0.0008570887862460579,2.9463459050666815e-10,0.9875639018291631,Shadowing,1,0.9999967869021219,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 10:30:00+08:00,0.00010067537370705146,0.19965708143839125,0.023621700517505055,1.2263908652827778e-08,0.7766205304064879,Shadowing,1,0.9998993246262929,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 10:45:00+08:00,0.0003861244967771048,0.15108734372427593,0.3265462013902376,5.740962905052315e-10,0.5219803298146131,Shadowing,1,0.9996138755032229,Shadowing,Shadowing,Shadowing,Degradation,Shadowing
2023-02-23 11:00:00+08:00,0.000300152354651771,0.08820443185421094,0.6246022536230481,1.7034035340251303e-10,0.2868931619977487,Degradation,1,0.9996998476453482,Degradation,Degradation,Shadowing,Degradation,Shadowing
2023-02-23 11:15:00+08:00,0.00016344483344517193,0.11500448336525063,0.6356405921838723,7.596797923410828e-11,0.24919147954146403,Degradation,1,0.9998365551665548,Degradation,Degradation,Short-Circuit,Degradation,Shadowing
2023-02-23 11:30:00+08:00,7.296201510087134e-05,0.16939082033567474,0.6138438413316193,1.6861478633661512e-11,0.21669237630074348,Degradation,1,0.9999270379848991,Degradation,Degradation,Short-Circuit,Degradation,Shadowing
2023-02-23 11:45:00+08:00,3.959529521528408e-05,0.17113482260467303,0.6117945814664878,5.7676584335477464e-11,0.21703100057594735,Degradation,1,0.9999604047047848,Degradation,Degradation,Short-Circuit,Degradation,Shadowing
